Date,Ticker,Open,High,Low,Close,Adj Close,Volume,RSI,L3,H3,BullishEngulfing,BearishEngulfing
2025-11-03,AR,31.52,33.335,31.08,33.14,33.14,7471124.0,57.22379603399434,29.1,31.9499,False,False
2025-11-04,AR,32.575,33.34,32.0,32.93,32.93,5645165.0,53.84615384615384,29.1,33.335,False,False
2025-11-05,AR,32.8,33.46,32.44,32.83,32.83,4666356.0,61.30820399113082,30.115,33.34,False,False
2025-11-06,AR,33.29,33.82,32.44,32.63,32.63,4544863.0,60.043431053203044,31.08,33.46,False,True
2025-11-07,AR,32.47,33.71,32.33,33.65,33.65,4231395.0,59.82532751091701,32.0,33.82,True,False
2025-11-10,AR,34.29,34.45,33.35,33.85,33.85,4185455.0,57.701149425287376,32.33,33.82,False,False
2025-11-11,AR,34.3,35.66,34.22,35.2,35.2,5378750.0,66.21621621621624,32.33,34.45,False,False
2025-11-12,AR,35.14,35.22,34.25,34.46,34.46,5091068.0,58.738366080661834,32.33,35.66,False,False
2025-11-13,AR,34.8,35.27,34.1103,34.34,34.34,4284249.0,58.496395468589114,33.35,35.66,False,False
2025-11-14,AR,33.53,34.37,33.06,34.36,34.36,5474745.0,58.76288659793817,34.1103,35.66,False,False
2025-11-17,AR,34.155,34.48,33.309,33.64,33.64,3938666.0,59.128630705394215,33.06,35.27,False,False
2025-11-18,AR,33.33,34.95,33.05,34.76,34.76,4396359.0,64.95238095238096,33.06,35.27,True,False
2025-11-19,AR,34.285,35.15,34.15,35.08,35.08,4501571.0,77.35644637053089,33.05,34.95,False,False
2025-11-20,AR,35.155,35.93,33.27,33.32,33.32,8397952.0,61.91889218595451,33.05,35.15,False,True
2025-11-21,AR,33.33,33.9,32.6801,33.55,33.55,6002916.0,52.52774352651048,33.05,35.93,False,False
2025-11-24,AR,33.27,34.65,32.77,34.56,34.56,6363087.0,59.147025813692515,32.6801,35.93,False,False
2025-11-25,AR,34.21,34.32,33.39,34.0,34.0,4472988.0,56.24332977588048,32.6801,35.93,False,False
2025-11-26,AR,34.37,35.69,34.29,35.12,35.12,4698507.0,62.099125364431465,32.6801,34.65,False,False
2025-11-28,AR,35.655,36.67,35.28,36.43,36.43,2876485.0,63.137996219281675,32.77,35.69,False,False
2025-12-01,AR,36.16,36.44,35.64,35.76,35.76,5319031.0,58.64253393665157,33.39,36.67,False,False
